
| PDF Filename                                     | Records  | Status          |
| ऑक्टोबर_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf           | 20       | ⚠️ MEDIUM       |
| ऑक्टोम्बर_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf         | 20       | ⚠️ MEDIUM       |
| ऑगस्ट_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf             | 20       | ⚠️ MEDIUM       |
| ऑगस्ट_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf             | 20       | ⚠️ MEDIUM       |
| जानेवारी__२०१९_चा_मासिक_गुन्हे_अहवाल.pdf         | 20       | ⚠️ MEDIUM       |
| जानेवारी__२०२०_चा_मासिक_गुन्हे_अहवाल.pdf         | 20       | ⚠️ MEDIUM       |
| जानेवारी_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf          | 20       | ⚠️ MEDIUM       |
| जानेवारी_२०२१_चा_मासिक_गुन्हे_अहवाल.pdf          | 20       | ⚠️ MEDIUM       |
| जुलै_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf              | 20       | ⚠️ MEDIUM       |
| जुलै_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf              | 20       | ⚠️ MEDIUM       |
| जून__२०१९_चा_मासिक_गुन्हे_अहवाल.pdf              | 20       | ⚠️ MEDIUM       |
| जून_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf               | 20       | ⚠️ MEDIUM       |
| डिसेंबर_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf           | 20       | ⚠️ MEDIUM       |
| डिसेम्बर_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf          | 20       | ⚠️ MEDIUM       |
| नोव्हेंबर_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf         | 20       | ⚠️ MEDIUM       |
| नोव्हेंबर_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf         | 20       | ⚠️ MEDIUM       |
| फेब्रुवारी_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf        | 20       | ⚠️ MEDIUM       |
| फेब्रुवारी_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf        | 20       | ⚠️ MEDIUM       |
| फेब्रुवारी_२०२०_चा_मासिक_गुन्हे_अहवाल.pdf        | 20       | ⚠️ MEDIUM       |
| फेब्रुवारी_२०२१_चा_मासिक_गुन्हे_अहवाल.pdf        | 20       | ⚠️ MEDIUM       |
| मार्च__२०२०_चा_मासिक_गुन्हे_अहवाल.pdf            | 20       | ⚠️ MEDIUM       |
| मार्च_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf             | 20       | ⚠️ MEDIUM       |
| मार्च_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf             | 20       | ⚠️ MEDIUM       |
| मार्च_२०२१_चा_मासिक_गुन्हे_अहवाल.pdf             | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_एप्रिल_२०२१.pdf               | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_ऑक्टोबर__२०२०.pdf             | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_ऑगस्ट_२०२०.pdf                | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_ऑगस्ट_२०२१.pdf                | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_जुलै_२०२०.pdf                 | 20       | ⚠️ MEDIUM       |
